Datetime,Open,High,Low,Close,Volume
2020-03-11 15:02:00-04:00,153.13,153.15,152.54,152.65,277496
2020-03-11 15:04:00-04:00,152.65,152.72,152.17,152.18,305953
2020-03-11 15:06:00-04:00,152.18,152.42,151.82,151.84,496503
2020-03-11 15:08:00-04:00,151.84,152.13,151.68,151.97,241441
2020-03-11 15:10:00-04:00,151.89,152.3,151.81,152.04,312309
2020-03-11 15:12:00-04:00,152.05,152.09,151.8,151.84,259782
2020-03-11 15:14:00-04:00,151.85,151.89,151.58,151.86,353138
2020-03-11 15:16:00-04:00,151.86,152.3,151.5,151.86,336334
2020-03-11 15:18:00-04:00,151.88,152.42,151.86,152.36,283185
2020-03-11 15:20:00-04:00,152.38,152.41,151.77,151.79,240894
2020-03-11 15:22:00-04:00,151.82,152.02,151.32,151.37,420330
2020-03-11 15:24:00-04:00,151.37,151.59,151.15,151.38,376623
2020-03-11 15:26:00-04:00,151.39,151.9,151.33,151.52,318428
2020-03-11 15:28:00-04:00,151.47,152.72,151.36,152.51,361826
2020-03-11 15:30:00-04:00,152.46,153.05,152.12,153.02,496177
2020-03-11 15:32:00-04:00,153.06,154.07,152.91,153.79,480771
2020-03-11 15:34:00-04:00,153.81,154.42,153.64,153.74,431260
2020-03-11 15:36:00-04:00,153.77,154.52,153.73,154.27,366648
2020-03-11 15:38:00-04:00,154.3,155.25,154.26,154.83,533388
2020-03-11 15:40:00-04:00,154.79,155.64,154.55,155.58,542614
2020-03-11 15:42:00-04:00,155.6,155.72,154.33,154.49,453062
2020-03-11 15:44:00-04:00,154.54,154.87,153.85,154.21,420484
2020-03-11 15:46:00-04:00,154.21,154.39,153.55,153.68,402242
2020-03-11 15:48:00-04:00,153.68,154.89,153.6,154.48,371497
2020-03-11 15:50:00-04:00,154.47,154.47,153.67,154.0,26453
2020-03-11 15:52:00-04:00,153.5,154.89,153.37,154.77,1316205
2020-03-11 15:54:00-04:00,154.78,155.21,152.86,153.84,1232735
2020-03-11 15:56:00-04:00,153.85,154.61,153.7,154.33,793397
2020-03-11 15:58:00-04:00,154.32,154.48,153.3,153.57,1549189
2020-03-12 09:30:00-04:00,149.51,149.51,145.61,145.61,5186831
2020-03-12 09:32:00-04:00,145.68,145.89,144.78,144.78,941740
2020-03-12 09:34:00-04:00,144.82,144.82,143.88,143.93,897172
2020-03-12 09:50:00-04:00,143.2,143.2,142.0,142.0,1150429
2020-03-12 09:52:00-04:00,142.22,142.42,142.12,142.42,1075370
2020-03-12 09:54:00-04:00,143.32,145.21,143.32,145.21,998124
2020-03-12 09:56:00-04:00,145.33,146.77,145.22,146.77,954144
2020-03-12 09:58:00-04:00,147.26,147.92,146.68,147.26,679494
2020-03-12 10:00:00-04:00,147.25,147.3,145.05,145.21,690637
2020-03-12 10:02:00-04:00,145.27,145.74,144.71,145.13,691112
2020-03-12 10:04:00-04:00,145.11,145.52,143.55,144.48,854419
2020-03-12 10:06:00-04:00,144.41,144.94,143.94,144.31,479653
2020-03-12 10:08:00-04:00,144.28,145.0,143.88,144.2,587866
2020-03-12 10:10:00-04:00,144.2,144.67,143.53,144.65,533097
2020-03-12 10:12:00-04:00,144.64,145.24,143.57,144.31,656716
2020-03-12 10:14:00-04:00,144.31,146.14,144.27,145.99,527840
2020-03-12 10:16:00-04:00,146.01,147.0,144.83,144.97,605960
2020-03-12 10:18:00-04:00,144.98,145.29,144.3,145.03,498892
2020-03-12 10:20:00-04:00,145.06,145.12,144.21,144.67,449008
2020-03-12 10:22:00-04:00,144.62,145.44,144.62,144.95,720669
